Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Tipo de inspeção (Código),Tipo de inspeção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,,,...,35,São Paulo,200504,4º trimestre 2005,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,198,35,São Paulo,200601,1º trimestre 2006,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,531074,35,São Paulo,200601,1º trimestre 2006,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,529235,35,São Paulo,200601,1º trimestre 2006,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200601,1º trimestre 2006,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200601,1º trimestre 2006,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,195,35,São Paulo,200602,2º trimestre 2006,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,517508,35,São Paulo,200602,2º trimestre 2006,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,515008,35,São Paulo,200602,2º trimestre 2006,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200602,2º trimestre 2006,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200602,2º trimestre 2006,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,186,35,São Paulo,200603,3º trimestre 2006,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,506427,35,São Paulo,200603,3º trimestre 2006,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,502878,35,São Paulo,200603,3º trimestre 2006,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200603,3º trimestre 2006,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200603,3º trimestre 2006,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,185,35,São Paulo,200604,4º trimestre 2006,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,558696,35,São Paulo,200604,4º trimestre 2006,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,554633,35,São Paulo,200604,4º trimestre 2006,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200604,4º trimestre 2006,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200604,4º trimestre 2006,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,182,35,São Paulo,200701,1º trimestre 2007,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,550975,35,São Paulo,200701,1º trimestre 2007,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,548818,35,São Paulo,200701,1º trimestre 2007,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200701,1º trimestre 2007,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200701,1º trimestre 2007,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,179,35,São Paulo,200702,2º trimestre 2007,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,507747,35,São Paulo,200702,2º trimestre 2007,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,504999,35,São Paulo,200702,2º trimestre 2007,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200702,2º trimestre 2007,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200702,2º trimestre 2007,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,181,35,São Paulo,200703,3º trimestre 2007,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,573130,35,São Paulo,200703,3º trimestre 2007,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,571055,35,São Paulo,200703,3º trimestre 2007,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200703,3º trimestre 2007,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200703,3º trimestre 2007,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,180,35,São Paulo,200704,4º trimestre 2007,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,594523,35,São Paulo,200704,4º trimestre 2007,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,591139,35,São Paulo,200704,4º trimestre 2007,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200704,4º trimestre 2007,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200704,4º trimestre 2007,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,175,35,São Paulo,200801,1º trimestre 2008,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,586758,35,São Paulo,200801,1º trimestre 2008,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,583833,35,São Paulo,200801,1º trimestre 2008,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200801,1º trimestre 2008,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200801,1º trimestre 2008,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,175,35,São Paulo,200802,2º trimestre 2008,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,561039,35,São Paulo,200802,2º trimestre 2008,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,553006,35,São Paulo,200802,2º trimestre 2008,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200802,2º trimestre 2008,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200802,2º trimestre 2008,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,171,35,São Paulo,200803,3º trimestre 2008,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,564603,35,São Paulo,200803,3º trimestre 2008,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,558481,35,São Paulo,200803,3º trimestre 2008,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200803,3º trimestre 2008,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200803,3º trimestre 2008,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,173,35,São Paulo,200804,4º trimestre 2008,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,581877,35,São Paulo,200804,4º trimestre 2008,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,571498,35,São Paulo,200804,4º trimestre 2008,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200804,4º trimestre 2008,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200804,4º trimestre 2008,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,171,35,São Paulo,200901,1º trimestre 2009,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,524069,35,São Paulo,200901,1º trimestre 2009,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,515827,35,São Paulo,200901,1º trimestre 2009,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200901,1º trimestre 2009,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200901,1º trimestre 2009,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,169,35,São Paulo,200902,2º trimestre 2009,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,489504,35,São Paulo,200902,2º trimestre 2009,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,486459,35,São Paulo,200902,2º trimestre 2009,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200902,2º trimestre 2009,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200902,2º trimestre 2009,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,169,35,São Paulo,200903,3º trimestre 2009,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,516040,35,São Paulo,200903,3º trimestre 2009,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,513027,35,São Paulo,200903,3º trimestre 2009,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200903,3º trimestre 2009,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200903,3º trimestre 2009,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,200904,4º trimestre 2009,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,584205,35,São Paulo,200904,4º trimestre 2009,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,574983,35,São Paulo,200904,4º trimestre 2009,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200904,4º trimestre 2009,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200904,4º trimestre 2009,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201001,1º trimestre 2010,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,576277,35,São Paulo,201001,1º trimestre 2010,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,569938,35,São Paulo,201001,1º trimestre 2010,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201001,1º trimestre 2010,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201001,1º trimestre 2010,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,171,35,São Paulo,201002,2º trimestre 2010,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,538157,35,São Paulo,201002,2º trimestre 2010,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,538067,35,São Paulo,201002,2º trimestre 2010,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201002,2º trimestre 2010,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201002,2º trimestre 2010,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,172,35,São Paulo,201003,3º trimestre 2010,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,575251,35,São Paulo,201003,3º trimestre 2010,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,572669,35,São Paulo,201003,3º trimestre 2010,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201003,3º trimestre 2010,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201003,3º trimestre 2010,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,169,35,São Paulo,201004,4º trimestre 2010,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,626393,35,São Paulo,201004,4º trimestre 2010,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,622004,35,São Paulo,201004,4º trimestre 2010,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201004,4º trimestre 2010,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201004,4º trimestre 2010,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201101,1º trimestre 2011,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,594366,35,São Paulo,201101,1º trimestre 2011,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,592085,35,São Paulo,201101,1º trimestre 2011,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201101,1º trimestre 2011,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201101,1º trimestre 2011,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,170,35,São Paulo,201102,2º trimestre 2011,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,588822,35,São Paulo,201102,2º trimestre 2011,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,586154,35,São Paulo,201102,2º trimestre 2011,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201102,2º trimestre 2011,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201102,2º trimestre 2011,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,168,35,São Paulo,201103,3º trimestre 2011,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,658627,35,São Paulo,201103,3º trimestre 2011,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,652075,35,São Paulo,201103,3º trimestre 2011,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201103,3º trimestre 2011,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201103,3º trimestre 2011,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201104,4º trimestre 2011,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,673291,35,São Paulo,201104,4º trimestre 2011,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,671557,35,São Paulo,201104,4º trimestre 2011,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201104,4º trimestre 2011,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201104,4º trimestre 2011,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,171,35,São Paulo,201201,1º trimestre 2012,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,585138,35,São Paulo,201201,1º trimestre 2012,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,583875,35,São Paulo,201201,1º trimestre 2012,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201201,1º trimestre 2012,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201201,1º trimestre 2012,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,169,35,São Paulo,201202,2º trimestre 2012,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,555042,35,São Paulo,201202,2º trimestre 2012,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,553837,35,São Paulo,201202,2º trimestre 2012,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201202,2º trimestre 2012,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201202,2º trimestre 2012,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,166,35,São Paulo,201203,3º trimestre 2012,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,587459,35,São Paulo,201203,3º trimestre 2012,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,586427,35,São Paulo,201203,3º trimestre 2012,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201203,3º trimestre 2012,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201203,3º trimestre 2012,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201204,4º trimestre 2012,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,604395,35,São Paulo,201204,4º trimestre 2012,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,603700,35,São Paulo,201204,4º trimestre 2012,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201204,4º trimestre 2012,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201204,4º trimestre 2012,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,176,35,São Paulo,201301,1º trimestre 2013,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,602811,35,São Paulo,201301,1º trimestre 2013,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,602528,35,São Paulo,201301,1º trimestre 2013,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201301,1º trimestre 2013,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201301,1º trimestre 2013,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,172,35,São Paulo,201302,2º trimestre 2013,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,584584,35,São Paulo,201302,2º trimestre 2013,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,583383,35,São Paulo,201302,2º trimestre 2013,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201302,2º trimestre 2013,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201302,2º trimestre 2013,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,170,35,São Paulo,201303,3º trimestre 2013,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,655932,35,São Paulo,201303,3º trimestre 2013,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,654941,35,São Paulo,201303,3º trimestre 2013,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201303,3º trimestre 2013,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201303,3º trimestre 2013,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,169,35,São Paulo,201304,4º trimestre 2013,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,688183,35,São Paulo,201304,4º trimestre 2013,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,682964,35,São Paulo,201304,4º trimestre 2013,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201304,4º trimestre 2013,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201304,4º trimestre 2013,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201401,1º trimestre 2014,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,634825,35,São Paulo,201401,1º trimestre 2014,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,633620,35,São Paulo,201401,1º trimestre 2014,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201401,1º trimestre 2014,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201401,1º trimestre 2014,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,172,35,São Paulo,201402,2º trimestre 2014,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,588104,35,São Paulo,201402,2º trimestre 2014,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,587154,35,São Paulo,201402,2º trimestre 2014,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201402,2º trimestre 2014,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201402,2º trimestre 2014,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,167,35,São Paulo,201403,3º trimestre 2014,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,637776,35,São Paulo,201403,3º trimestre 2014,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,636767,35,São Paulo,201403,3º trimestre 2014,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201403,3º trimestre 2014,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201403,3º trimestre 2014,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,165,35,São Paulo,201404,4º trimestre 2014,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,664088,35,São Paulo,201404,4º trimestre 2014,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,663346,35,São Paulo,201404,4º trimestre 2014,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201404,4º trimestre 2014,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201404,4º trimestre 2014,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,163,35,São Paulo,201501,1º trimestre 2015,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,616204,35,São Paulo,201501,1º trimestre 2015,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,615492,35,São Paulo,201501,1º trimestre 2015,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201501,1º trimestre 2015,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,201501,1º trimestre 2015,2522,Preço médio,118225,Total,115236,Total do trimestre
