Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.47,35,São Paulo,198612,dezembro 1986,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198612,dezembro 1986,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.59,35,São Paulo,198701,janeiro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198701,janeiro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.71,35,São Paulo,198702,fevereiro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198702,fevereiro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,0.91,35,São Paulo,198703,março 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198703,março 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.02,35,São Paulo,198704,abril 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198704,abril 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.21,35,São Paulo,198705,maio 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198705,maio 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.39,35,São Paulo,198706,junho 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198706,junho 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.42,35,São Paulo,198707,julho 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198707,julho 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.43,35,São Paulo,198708,agosto 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198708,agosto 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.50,35,São Paulo,198709,setembro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198709,setembro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.60,35,São Paulo,198710,outubro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198710,outubro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,2119,Custo médio m² - componente material - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,2120,Custo médio m² - componente mão-de-obra - moeda corrente
3,Unidade da Federação,30,Número-índice,1.78,35,São Paulo,198711,novembro 1987,49,Custo médio m² - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,1193,Custo médio m² - componente material - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,1232,Custo médio m² - componente mão-de-obra - número-índice
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,1196,Custo médio m² - variação percentual no mês
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,1197,Custo médio m² - variação percentual no ano
3,Unidade da Federação,,,...,35,São Paulo,198711,novembro 1987,1198,Custo médio m² - variação percentual em doze meses
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,48,Custo médio m² - moeda corrente
3,Unidade da Federação,,,...,35,São Paulo,198712,dezembro 1987,2119,Custo médio m² - componente material - moeda corrente
