Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Mês (Código),Mês,Variável (Código),Variável,Tipos de índice (Código),Tipos de índice,Atividades de serviços (Código),Atividades de serviços
3,Unidade da Federação,2,%,..,35,São Paulo,201802,fevereiro 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201802,fevereiro 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201803,março 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201803,março 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201803,março 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201803,março 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201803,março 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201803,março 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201804,abril 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201804,abril 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201804,abril 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201804,abril 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201804,abril 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201804,abril 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201805,maio 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201805,maio 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201805,maio 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201805,maio 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201805,maio 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201805,maio 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201806,junho 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201806,junho 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201806,junho 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201806,junho 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201806,junho 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201806,junho 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201807,julho 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201807,julho 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201807,julho 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201807,julho 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201807,julho 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201807,julho 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201808,agosto 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201808,agosto 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201808,agosto 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201808,agosto 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201808,agosto 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201808,agosto 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201809,setembro 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201809,setembro 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201809,setembro 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201809,setembro 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201809,setembro 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201809,setembro 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201810,outubro 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201810,outubro 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201810,outubro 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201810,outubro 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201810,outubro 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201810,outubro 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201811,novembro 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201811,novembro 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201811,novembro 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201811,novembro 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201811,novembro 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201811,novembro 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201812,dezembro 2018,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201812,dezembro 2018,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201812,dezembro 2018,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201812,dezembro 2018,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201812,dezembro 2018,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201812,dezembro 2018,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201901,janeiro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201901,janeiro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201901,janeiro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201901,janeiro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201901,janeiro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201901,janeiro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201902,fevereiro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201902,fevereiro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201902,fevereiro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201902,fevereiro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201902,fevereiro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201902,fevereiro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201903,março 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201903,março 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201903,março 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201903,março 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201903,março 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201903,março 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201904,abril 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201904,abril 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201904,abril 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201904,abril 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201904,abril 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201904,abril 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201905,maio 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201905,maio 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201905,maio 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201905,maio 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201905,maio 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201905,maio 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201906,junho 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201906,junho 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201906,junho 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201906,junho 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201906,junho 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201906,junho 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201907,julho 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201907,julho 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201907,julho 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201907,julho 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201907,julho 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201907,julho 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201908,agosto 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201908,agosto 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201908,agosto 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201908,agosto 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201908,agosto 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201908,agosto 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201909,setembro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201909,setembro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201909,setembro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201909,setembro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201909,setembro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201909,setembro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201910,outubro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201910,outubro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201910,outubro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201910,outubro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201910,outubro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201910,outubro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201911,novembro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201911,novembro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201911,novembro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201911,novembro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201911,novembro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201911,novembro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201912,dezembro 2019,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,201912,dezembro 2019,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201912,dezembro 2019,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201912,dezembro 2019,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201912,dezembro 2019,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,201912,dezembro 2019,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202001,janeiro 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202001,janeiro 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202001,janeiro 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202001,janeiro 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202001,janeiro 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202001,janeiro 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202002,fevereiro 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202002,fevereiro 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202002,fevereiro 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202002,fevereiro 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202002,fevereiro 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202002,fevereiro 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202003,março 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202003,março 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202003,março 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202003,março 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202003,março 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202003,março 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202004,abril 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202004,abril 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202004,abril 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202004,abril 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202004,abril 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202004,abril 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202005,maio 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202005,maio 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202005,maio 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202005,maio 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202005,maio 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202005,maio 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202006,junho 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202006,junho 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202006,junho 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202006,junho 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202006,junho 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202006,junho 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202007,julho 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202007,julho 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202007,julho 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202007,julho 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202007,julho 2020,11625,PMS - Variação acumulada no ano (em relação ao mesmo período do ano anterior),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202007,julho 2020,11626,PMS - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202008,agosto 2020,7167,PMS - Número-índice (2022=100),0,,107071,Total
3,Unidade da Federação,30,Número-índice,..,35,São Paulo,202008,agosto 2020,7168,PMS - Número-índice com ajuste sazonal (2022=100),0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202008,agosto 2020,11623,"PMS - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1)",0,,107071,Total
3,Unidade da Federação,2,%,..,35,São Paulo,202008,agosto 2020,11624,PMS - Variação mês/mesmo mês do ano anterior (M/M-12),0,,107071,Total
