Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Finalidade da produção (Código),Finalidade da produção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,1020,Unidades,677,35,São Paulo,198904,4º trimestre 1989,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,25265502,35,São Paulo,198904,4º trimestre 1989,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,130841,35,São Paulo,198904,4º trimestre 1989,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,670,35,São Paulo,199001,1º trimestre 1990,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,24892438,35,São Paulo,199001,1º trimestre 1990,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,126903,35,São Paulo,199001,1º trimestre 1990,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,674,35,São Paulo,199002,2º trimestre 1990,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,25800355,35,São Paulo,199002,2º trimestre 1990,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,132824,35,São Paulo,199002,2º trimestre 1990,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,684,35,São Paulo,199003,3º trimestre 1990,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,26269914,35,São Paulo,199003,3º trimestre 1990,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,136678,35,São Paulo,199003,3º trimestre 1990,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,676,35,São Paulo,199004,4º trimestre 1990,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,25520477,35,São Paulo,199004,4º trimestre 1990,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,134748,35,São Paulo,199004,4º trimestre 1990,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,677,35,São Paulo,199101,1º trimestre 1991,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,26406895,35,São Paulo,199101,1º trimestre 1991,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,135536,35,São Paulo,199101,1º trimestre 1991,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,672,35,São Paulo,199102,2º trimestre 1991,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27471483,35,São Paulo,199102,2º trimestre 1991,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,142678,35,São Paulo,199102,2º trimestre 1991,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,678,35,São Paulo,199103,3º trimestre 1991,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27586717,35,São Paulo,199103,3º trimestre 1991,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,145598,35,São Paulo,199103,3º trimestre 1991,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,670,35,São Paulo,199104,4º trimestre 1991,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,26779613,35,São Paulo,199104,4º trimestre 1991,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,141579,35,São Paulo,199104,4º trimestre 1991,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,665,35,São Paulo,199201,1º trimestre 1992,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,26660786,35,São Paulo,199201,1º trimestre 1992,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,139400,35,São Paulo,199201,1º trimestre 1992,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,660,35,São Paulo,199202,2º trimestre 1992,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,27876148,35,São Paulo,199202,2º trimestre 1992,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,143452,35,São Paulo,199202,2º trimestre 1992,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
